mision;activity;time;robot
mision 26;T_1Busy;2023-09-07 21:27:33;0
mision 26;T_1Done;2023-09-07 21:27:38;0
mision 26;T_3ocupied;2023-09-07 21:27:50;5
mision 26;T_3waiting;2023-09-07 21:27:50;5
mision 26;T_2ocupied;2023-09-07 21:28:31;4
mision 26;T_2waiting;2023-09-07 21:28:31;4
mision 26;T_2done;2023-09-07 21:28:36;0
mision 26;T_3done;2023-09-07 21:28:36;0
mision 26;T_4Busy;2023-09-07 21:30:06;3
mision 26;T_4Done;2023-09-07 21:30:11;3
mision 26;T_5Busy;2023-09-07 21:30:13;4
mision 26;T_5Done;2023-09-07 21:30:18;4
mision 26;T_0ocupied;2023-09-07 21:30:25;2
mision 26;T_0waiting;2023-09-07 21:30:25;2
mision 26;T_1ocupied;2023-09-07 21:30:50;1
